query_index,query_image_id_metadata,predicted_candidate_index,predicted_candidate_image_id,predicted_candidate_concept,topk_candidate_image_ids,nearest_train_index,nearest_train_image_id,nearest_train_concept,score,output,source,source_kind,selection_note,prompt,leakage_policy
66,drum_01b,48,coffeemaker_13s,coffeemaker,coffeemaker_13s;modem_04s;treadmill_11s;television_12s;cd_player_02s,2932,chipmunk_03n,chipmunk,0.1349259912967682,recons/experiments/diffusion_prompt/066.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of coffeemaker, modem, treadmill, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
67,duffel_bag_03s,67,duffel_bag_03s,duffel_bag,duffel_bag_03s;purse_06s;television_12s;drum_01b;laundry_basket_12s,3980,cufflink_01b,cufflink,0.14781637489795685,recons/experiments/diffusion_prompt/067.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of duffel bag, purse, television, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
68,eagle_06s,68,eagle_06s,eagle,eagle_06s;baton4_05s;sailboat_05s;goose_02s;flamingo_05s,8392,lumber_03s,lumber,0.1445958912372589,recons/experiments/diffusion_prompt/068.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of eagle, baton4, sailboat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
69,eel_02s,110,manatee_05s,manatee,manatee_05s;eel_02s;antelope_01b;gopher_09s;panther_01b,1808,broom_09s,broom,0.1523025929927826,recons/experiments/diffusion_prompt/069.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of manatee, eel, antelope, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
70,egg_12s,70,egg_12s,egg,egg_12s;creme_brulee_01b;breadbox_01b;bun_01b;espresso_01b,9043,mosquito_net_04s,mosquito_net,0.13163453340530396,recons/experiments/diffusion_prompt/070.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of egg, creme brulee, breadbox, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
71,elephant_11n,1,antelope_01b,antelope,antelope_01b;gorilla_18s;piglet_02s;gopher_09s;lamb_01b,15375,tulip_06s,tulip,0.13245685398578644,recons/experiments/diffusion_prompt/071.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of antelope, gorilla, piglet, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
72,espresso_01b,72,espresso_01b,espresso,espresso_01b;wok_12s;egg_12s;creme_brulee_01b;spoon_04s,11583,ribbon_04s,ribbon,0.1508270800113678,recons/experiments/diffusion_prompt/072.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of espresso, wok, egg, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
73,face_mask_12s,73,face_mask_12s,face_mask,face_mask_12s;tube_top_11s;laundry_basket_12s;chime_08s;wallpaper_01b,1425,bomb_06s,bomb,0.14100046455860138,recons/experiments/diffusion_prompt/073.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of face mask, tube top, laundry basket, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
74,ferry_06s,74,ferry_06s,ferry,ferry_06s;cruise_ship_03s;sailboat_05s;aircraft_carrier_06s;gondola_11s,1224,blazer_05s,blazer,0.1468210518360138,recons/experiments/diffusion_prompt/074.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of ferry, cruise ship, sailboat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
75,flamingo_05s,75,flamingo_05s,flamingo,flamingo_05s;eagle_06s;goose_02s;grasshopper_06s;ostrich_03s,2612,centrifuge_03s,centrifuge,0.15613970160484314,recons/experiments/diffusion_prompt/075.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of flamingo, eagle, goose, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
76,folder_11s,76,folder_11s,folder,folder_11s;backscratcher_01b;table_07s;wallpaper_01b;modem_04s,11843,router_04s,router,0.13782568275928497,recons/experiments/diffusion_prompt/076.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of folder, backscratcher, table, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
77,fork_07s,7,basketball_05s,basketball,basketball_05s;espresso_01b;wallpaper_01b;chain_01b;t-shirt_15s,5648,frog_09s,frog,0.1506427526473999,recons/experiments/diffusion_prompt/077.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of basketball, espresso, wallpaper, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
78,freezer_04s,78,freezer_04s,freezer,freezer_04s;crumb_12s;ice_cube_11s;folder_11s;laundry_basket_12s,2513,cassette_04s,cassette,0.14811435341835022,recons/experiments/diffusion_prompt/078.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of freezer, crumb, ice cube, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
79,french_horn_03s,162,seed_07s,seed,seed_07s;sausage_04s;croissant_06s;french_horn_03s;orange_07s,4573,dryer_04s,dryer,0.12767618894577026,recons/experiments/diffusion_prompt/079.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of seed, sausage, croissant, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
80,fruit_01b,80,fruit_01b,fruit,fruit_01b;meatloaf_12s;seed_07s;sausage_04s;tomato_sauce_02s,13939,strainer_10s,strainer,0.14966565370559692,recons/experiments/diffusion_prompt/080.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of fruit, meatloaf, seed, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
81,garlic_12n,37,cheese_06s,cheese,cheese_06s;bun_01b;garlic_12n;croissant_06s;bread_19s,9670,paddle_01s,paddle,0.12799502909183502,recons/experiments/diffusion_prompt/081.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cheese, bun, garlic, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
82,glove_11s,82,glove_11s,glove,glove_11s;bonnet_08s;tiara_07s;tube_top_11s;face_mask_12s,5765,gargoyle_06s,gargoyle,0.1392933875322342,recons/experiments/diffusion_prompt/082.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of glove, bonnet, tiara, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
83,golf_cart_06s,166,slide_04s,slide,slide_04s;golf_cart_06s;unicycle_10s;gondola_11s;bike_22s,7502,jigsaw_puzzle_03s,jigsaw_puzzle,0.1460917592048645,recons/experiments/diffusion_prompt/083.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of slide, golf cart, unicycle, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
84,gondola_11s,187,treadmill_11s,treadmill,treadmill_11s;gondola_11s;crib_14n;ferry_06s;cruise_ship_03s,15251,trigger_02s,trigger,0.14355391263961792,recons/experiments/diffusion_prompt/084.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of treadmill, gondola, crib, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
85,goose_02s,1,antelope_01b,antelope,antelope_01b;goose_02s;flamingo_05s;seagull_09s;ostrich_03s,15375,tulip_06s,tulip,0.13245685398578644,recons/experiments/diffusion_prompt/085.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of antelope, goose, flamingo, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
86,gopher_09s,86,gopher_09s,gopher,gopher_09s;possum_05s;antelope_01b;beaver_04s;lamb_01b,4151,denture_02s,denture,0.1452384740114212,recons/experiments/diffusion_prompt/086.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of gopher, possum, antelope, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
87,gorilla_18s,87,gorilla_18s,gorilla,gorilla_18s;panther_01b;manatee_05s;lamb_01b;piglet_02s,14840,toaster_oven_01b,toaster_oven,0.15393224358558655,recons/experiments/diffusion_prompt/087.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of gorilla, panther, manatee, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
88,grasshopper_06s,1,antelope_01b,antelope,antelope_01b;ostrich_03s;pigeon_05s;seagull_09s;crow_11s,15375,tulip_06s,tulip,0.13245685398578644,recons/experiments/diffusion_prompt/088.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of antelope, ostrich, pigeon, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
89,grenade_03s,89,grenade_03s,grenade,grenade_03s;garlic_12n;egg_12s;sausage_04s;croissant_06s,14277,swordfish_08s,swordfish,0.13778483867645264,recons/experiments/diffusion_prompt/089.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of grenade, garlic, egg, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
90,hamburger_01s,112,meatloaf_12s,meatloaf,meatloaf_12s;croissant_06s;hamburger_01s;cordon_bleu_08s;bread_19s,8108,leotard_09s,leotard,0.15450967848300934,recons/experiments/diffusion_prompt/090.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of meatloaf, croissant, hamburger, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
91,hammer_08s,169,spatula_08s,spatula,spatula_08s;boat_01b;ladle_13s;spoon_04s;skateboard_01b,16081,wetsuit_02s,wetsuit,0.14425957202911377,recons/experiments/diffusion_prompt/091.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of spatula, boat, ladle, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
92,handbrake_08s,187,treadmill_11s,treadmill,treadmill_11s;handbrake_08s;nightstand_05s;modem_04s;television_12s,15251,trigger_02s,trigger,0.14355391263961792,recons/experiments/diffusion_prompt/092.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of treadmill, handbrake, nightstand, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
93,headscarf_03s,93,headscarf_03s,headscarf,headscarf_03s;bonnet_08s;cat_01b;lampshade_05s;muff_12s,7798,knot_09s,knot,0.1230623871088028,recons/experiments/diffusion_prompt/093.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of headscarf, bonnet, cat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
94,highchair_04s,94,highchair_04s,highchair,highchair_04s;headscarf_03s;crib_14n;lampshade_05s;chime_08s,6839,highlighter_10s,highlighter,0.13921861350536346,recons/experiments/diffusion_prompt/094.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of highchair, headscarf, crib, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
95,hoodie_08s,95,hoodie_08s,hoodie,hoodie_08s;coat_01b;headscarf_03s;t-shirt_15s;suit_13s,11083,pump_04s,pump,0.14287959039211273,recons/experiments/diffusion_prompt/095.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of hoodie, coat, headscarf, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
96,hummingbird_01b,68,eagle_06s,eagle,eagle_06s;goose_02s;manatee_05s;flamingo_05s;pigeon_05s,8392,lumber_03s,lumber,0.1445958912372589,recons/experiments/diffusion_prompt/096.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of eagle, goose, manatee, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
97,ice_cube_11s,97,ice_cube_11s,ice_cube,ice_cube_11s;cheese_06s;batter_01b;crumb_12s;creme_brulee_01b,2913,chinchilla_04s,chinchilla,0.13818508386611938,recons/experiments/diffusion_prompt/097.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of ice cube, cheese, batter, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
98,ice_pack_01b,98,ice_pack_01b,ice_pack,ice_pack_01b;cleat_09s;jukebox_01n;duffel_bag_03s;tape_recorder_01b,14750,tie_01b,tie,0.14113818109035492,recons/experiments/diffusion_prompt/098.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of ice pack, cleat, jukebox, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
99,jeep_05s,114,minivan_17s,minivan,minivan_17s;jeep_05s;station_wagon_04s;golf_cart_06s;buggy_07s,13910,stove2_01b,stove2,0.1331484317779541,recons/experiments/diffusion_prompt/099.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of minivan, jeep, station wagon, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
100,jelly_bean_06s,100,jelly_bean_06s,jelly_bean,jelly_bean_06s;fruit_01b;seed_07s;cashew_01b;orange_07s,2292,canister_03s,canister,0.15424931049346924,recons/experiments/diffusion_prompt/100.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of jelly bean, fruit, seed, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
101,jukebox_01n,101,jukebox_01n,jukebox,jukebox_01n;gondola_11s;metal_detector_02s;seaweed_07s;rug_09s,3888,crouton_09s,crouton,0.1349881887435913,recons/experiments/diffusion_prompt/101.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of jukebox, gondola, metal detector, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
102,kettle_03n,48,coffeemaker_13s,coffeemaker,coffeemaker_13s;kettle_03n;espresso_01b;nightstand_05s;television_12s,2932,chipmunk_03n,chipmunk,0.1349259912967682,recons/experiments/diffusion_prompt/102.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of coffeemaker, kettle, espresso, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
103,kneepad_12s,103,kneepad_12s,kneepad,kneepad_12s;pajamas_13s;coverall_06s;chaps_18s;tube_top_11s,16032,weather_vane_03s,weather_vane,0.13743025064468384,recons/experiments/diffusion_prompt/103.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of kneepad, pajamas, coverall, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
104,ladle_13s,2,backscratcher_01b,backscratcher,backscratcher_01b;ladle_13s;cleaver_07s;spoon_04s;sandpaper_08s,11524,reindeer_05s,reindeer,0.13315632939338684,recons/experiments/diffusion_prompt/104.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of backscratcher, ladle, cleaver, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
105,lamb_01b,105,lamb_01b,lamb,lamb_01b;antelope_01b;piglet_02s;dalmatian_12s;possum_05s,3407,comb_08s,comb,0.14741313457489014,recons/experiments/diffusion_prompt/105.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of lamb, antelope, piglet, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
106,lampshade_05s,106,lampshade_05s,lampshade,lampshade_05s;headscarf_03s;fruit_01b;raspberry_10n;croissant_06s,5250,fish_01b,fish,0.14910168945789337,recons/experiments/diffusion_prompt/106.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of lampshade, headscarf, fruit, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
107,laundry_basket_12s,78,freezer_04s,freezer,freezer_04s;laundry_basket_12s;tape_recorder_01b;music_box_06s;modem_04s,2513,cassette_04s,cassette,0.14811435341835022,recons/experiments/diffusion_prompt/107.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of freezer, laundry basket, tape recorder, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
108,lettuce_05n,108,lettuce_05n,lettuce,lettuce_05n;omelet_10s;calamari_01b;bok_choy_03s;scallop_02s,5946,girl_07s,girl,0.1341354250907898,recons/experiments/diffusion_prompt/108.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of lettuce, omelet, calamari, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
109,lightning_bug_11s,109,lightning_bug_11s,lightning_bug,lightning_bug_11s;ostrich_03s;grasshopper_06s;bug_08s;goose_02s,8963,mold1_04s,mold1,0.14425748586654663,recons/experiments/diffusion_prompt/109.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of lightning bug, ostrich, grasshopper, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
110,manatee_05s,87,gorilla_18s,gorilla,gorilla_18s;manatee_05s;panther_01b;gopher_09s;lamb_01b,14840,toaster_oven_01b,toaster_oven,0.15393224358558655,recons/experiments/diffusion_prompt/110.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of gorilla, manatee, panther, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
111,marijuana_13s,157,scallion_04s,scallion,scallion_04s;bok_choy_03s;seaweed_07s;basil_05s;lettuce_05n,10911,pothole_02s,pothole,0.147633358836174,recons/experiments/diffusion_prompt/111.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of scallion, bok choy, seaweed, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
112,meatloaf_12s,112,meatloaf_12s,meatloaf,meatloaf_12s;tomato_sauce_02s;omelet_10s;bread_19s;seed_07s,8108,leotard_09s,leotard,0.15450967848300934,recons/experiments/diffusion_prompt/112.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of meatloaf, tomato sauce, omelet, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
113,metal_detector_02s,113,metal_detector_02s,metal_detector,metal_detector_02s;scallion_04s;tool_10s;crib_14n;chime_08s,9695,paint_06s,paint,0.13138842582702637,recons/experiments/diffusion_prompt/113.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of metal detector, scallion, tool, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
114,minivan_17s,114,minivan_17s,minivan,minivan_17s;jeep_05s;station_wagon_04s;windshield_09s;golf_cart_06s,13910,stove2_01b,stove2,0.1331484317779541,recons/experiments/diffusion_prompt/114.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of minivan, jeep, station wagon, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
115,modem_04s,115,modem_04s,modem,modem_04s;nightstand_05s;coffeemaker_13s;television_12s;cd_player_02s,4343,doily_04s,doily,0.1309315711259842,recons/experiments/diffusion_prompt/115.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of modem, nightstand, coffeemaker, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
116,mosquito_02s,116,mosquito_02s,mosquito,mosquito_02s;eagle_06s;grasshopper_06s;crab_17s;goose_02s,2027,button1_08s,button1,0.1473379284143448,recons/experiments/diffusion_prompt/116.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of mosquito, eagle, grasshopper, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
117,muff_12s,117,muff_12s,muff,muff_12s;coverall_06s;chaps_18s;kneepad_12s;top_hat_13s,12876,skewer_07s,skewer,0.1432224065065384,recons/experiments/diffusion_prompt/117.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of muff, coverall, chaps, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
118,music_box_06s,118,music_box_06s,music_box,music_box_06s;pocketknife_01b;treadmill_11s;tool_10s;tape_recorder_01b,16134,whipped_cream_05s,whipped_cream,0.13931778073310852,recons/experiments/diffusion_prompt/118.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of music box, pocketknife, treadmill, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
119,mussel_11s,119,mussel_11s,mussel,mussel_11s;calamari_01b;omelet_10s;meatloaf_12s;hamburger_01s,4953,eyepiece_04s,eyepiece,0.1420639157295227,recons/experiments/diffusion_prompt/119.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of mussel, calamari, omelet, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
120,nightstand_05s,120,nightstand_05s,nightstand,nightstand_05s;breadbox_01b;coffeemaker_13s;chest2_02s;table_07s,6513,hamster_04s,hamster,0.14139606058597565,recons/experiments/diffusion_prompt/120.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of nightstand, breadbox, coffeemaker, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
121,okra_14n,53,creme_brulee_01b,creme_brulee,creme_brulee_01b;okra_14n;batter_01b;ice_cube_11s;backscratcher_01b,7528,jug_09s,jug,0.1426306664943695,recons/experiments/diffusion_prompt/121.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of creme brulee, okra, batter, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
122,omelet_10s,122,omelet_10s,omelet,omelet_10s;meatloaf_12s;crepe_18s;calamari_01b;seed_07s,14333,tack_04s,tack,0.13608869910240173,recons/experiments/diffusion_prompt/122.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of omelet, meatloaf, crepe, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
123,onion_10s,123,onion_10s,onion,onion_10s;egg_12s;scallop_02s;dessert_01b;calamari_01b,15727,viewfinder_08s,viewfinder,0.13466930389404297,recons/experiments/diffusion_prompt/123.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of onion, egg, scallop, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
124,orange_07s,124,orange_07s,orange,orange_07s;bun_01b;croissant_06s;sausage_04s;seed_07s,1363,board_04s,board,0.15446585416793823,recons/experiments/diffusion_prompt/124.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of orange, bun, croissant, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
125,orchid_05s,125,orchid_05s,orchid,orchid_05s;garlic_12n;pear_01b;rooster_03s;crab_17s,2389,car_door_10s,car_door,0.15223190188407898,recons/experiments/diffusion_prompt/125.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of orchid, garlic, pear, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
126,ostrich_03s,126,ostrich_03s,ostrich,ostrich_03s;antelope_01b;crow_11s;pigeon_05s;goose_02s,12327,scuba_08s,scuba,0.16437001526355743,recons/experiments/diffusion_prompt/126.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of ostrich, antelope, crow, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
127,pajamas_13s,127,pajamas_13s,pajamas,pajamas_13s;coat_01b;coverall_06s;kneepad_12s;duffel_bag_03s,9104,mouse2_05s,mouse2,0.13735906779766083,recons/experiments/diffusion_prompt/127.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of pajamas, coat, coverall, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
128,panther_01b,87,gorilla_18s,gorilla,gorilla_18s;lamb_01b;panther_01b;piglet_02s;antelope_01b,14840,toaster_oven_01b,toaster_oven,0.15393224358558655,recons/experiments/diffusion_prompt/128.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of gorilla, lamb, panther, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
129,paperweight_07s,129,paperweight_07s,paperweight,paperweight_07s;music_box_06s;tape_recorder_01b;ice_cube_11s;cleaver_07s,2890,chin_01b,chin,0.158771812915802,recons/experiments/diffusion_prompt/129.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of paperweight, music box, tape recorder, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
130,pear_01b,130,pear_01b,pear,pear_01b;egg_12s;cleat_09s;onion_10s;basil_05s,12021,sarcophagus_02s,sarcophagus,0.13582922518253326,recons/experiments/diffusion_prompt/130.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of pear, egg, cleat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
131,pepper1_14s,131,pepper1_14s,pepper1,pepper1_14s;meatloaf_12s;calamari_01b;tomato_sauce_02s;cashew_01b,9200,mulch_01b,mulch,0.14114847779273987,recons/experiments/diffusion_prompt/131.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of pepper1, meatloaf, calamari, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
132,pheasant_20s,132,pheasant_20s,pheasant,pheasant_20s;gopher_09s;antelope_01b;beaver_04s;cat_01b,8127,license_plate_08s,license_plate,0.13603496551513672,recons/experiments/diffusion_prompt/132.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of pheasant, gopher, antelope, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
